Time (UTC);Channel;Frequency [kHz];UEID;Label;SNR [dB];Main;Sub;Level [dB];Location;Power [kW];Distance [km];Azimuth [deg];Latitude (TX);Longitude (TX);Latitude (RX);Longitude (RX)
2026-04-11 11:18:43;5C;178352;E010BC;DR Deutschland;19.5;13;1; -0.4;Berlin/Alexanderplatz;10.0;33.3;155.1;52.520861;13.409431;52.792240;13.202323
2026-04-11 11:18:43;5C;178352;E010BC;DR Deutschland;19.5;13;2;  0.0;Berlin/Scholzplatz;5.0;31.8;177.9;52.506047;13.219503;52.792240;13.202323
2026-04-11 11:18:43;5C;178352;E010BC;DR Deutschland;19.5;14;5;-19.0;Templin;10.0;40.8;29.2;53.112564;13.500575;52.792240;13.202323
2026-04-11 11:18:43;5C;178352;E010BC;DR Deutschland;19.5;14;11;-18.4;Neuruppin;5.0;28.9;292.1;52.889678;12.802667;52.792240;13.202323
2026-04-11 11:18:43;5C;178352;E010BC;DR Deutschland;19.5;14;12;-21.5;Eberswalde;5.0;42.6;85.1;52.823378;13.833558;52.792240;13.202323
2026-04-11 11:18:43;5C;178352;E010BC;DR Deutschland;19.1;13;1;  0.0;Berlin/Alexanderplatz;10.0;33.3;155.1;52.520861;13.409431;52.792240;13.202323
2026-04-11 11:18:43;5C;178352;E010BC;DR Deutschland;19.1;13;2; -0.3;Berlin/Scholzplatz;5.0;31.8;177.9;52.506047;13.219503;52.792240;13.202323
2026-04-11 11:18:43;5C;178352;E010BC;DR Deutschland;19.1;14;5;-18.8;Templin;10.0;40.8;29.2;53.112564;13.500575;52.792240;13.202323
2026-04-11 11:18:43;5C;178352;E010BC;DR Deutschland;19.1;14;11;-18.3;Neuruppin;5.0;28.9;292.1;52.889678;12.802667;52.792240;13.202323
2026-04-11 11:18:43;5C;178352;E010BC;DR Deutschland;19.1;14;12;-21.6;Eberswalde;5.0;42.6;85.1;52.823378;13.833558;52.792240;13.202323
2026-04-11 11:18:43;5C;178352;E010BC;DR Deutschland;19.1;13;1;  0.0;Berlin/Alexanderplatz;10.0;33.3;155.1;52.520861;13.409431;52.792240;13.202323
2026-04-11 11:18:43;5C;178352;E010BC;DR Deutschland;19.1;13;2; -1.4;Berlin/Scholzplatz;5.0;31.8;177.9;52.506047;13.219503;52.792240;13.202323
2026-04-11 11:18:43;5C;178352;E010BC;DR Deutschland;19.1;14;5;-20.5;Templin;10.0;40.8;29.2;53.112564;13.500575;52.792240;13.202323
2026-04-11 11:18:43;5C;178352;E010BC;DR Deutschland;19.1;14;11;-18.8;Neuruppin;5.0;28.9;292.1;52.889678;12.802667;52.792240;13.202323
2026-04-11 11:18:43;5C;178352;E010BC;DR Deutschland;19.1;14;12;-23.7;Eberswalde;5.0;42.6;85.1;52.823378;13.833558;52.792240;13.202323
2026-04-11 11:18:43;5C;178352;E010BC;DR Deutschland;20.3;13;1;  0.0;Berlin/Alexanderplatz;10.0;33.3;155.1;52.520861;13.409431;52.792240;13.202323
2026-04-11 11:18:43;5C;178352;E010BC;DR Deutschland;20.3;13;2; -1.7;Berlin/Scholzplatz;5.0;31.8;177.9;52.506047;13.219503;52.792240;13.202323
2026-04-11 11:18:43;5C;178352;E010BC;DR Deutschland;20.3;14;5;-22.1;Templin;10.0;40.8;29.2;53.112564;13.500575;52.792240;13.202323
